,name_muni,private_school_type,geometry,size,education_level_others,urban,government_level,centroid_column,x,y
204843,Porto Alegre,Não Informado,POINT (-51.09708 -30.22017),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.09708 -30.22017),-51.09708,-30.22017
204844,Porto Alegre,Não Informado,POINT (-51.20636 -30.05715),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.20636 -30.05715),-51.20636,-30.05715
204845,Porto Alegre,Não Informado,POINT (-51.14999 -30.05372),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.14999 -30.05372),-51.14999,-30.05372
204846,Porto Alegre,Não Informado,POINT (-51.19647 -30.01867),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.19647 -30.01867),-51.19647,-30.01867
204847,Porto Alegre,Não Informado,POINT (-51.18072 -30.09066),Entre 501 e 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.18072 -30.09066),-51.18072,-30.09066
204848,Porto Alegre,Não Informado,POINT (-51.15333 -30.02262),Mais de 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.15333 -30.02262),-51.15333,-30.02262
204850,Porto Alegre,Não Informado,POINT (-51.14051 -30.01039),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.14051 -30.01039),-51.14051,-30.01039
204854,Porto Alegre,Não Informado,POINT (-51.21253 -30.04575),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.21253 -30.04575),-51.21253,-30.04575
204855,Porto Alegre,Não Informado,POINT (-51.142 -30.01966),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.142 -30.01966),-51.142,-30.01966
204856,Porto Alegre,Não Informado,POINT (-51.14194 -30.03176),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.14194 -30.03176),-51.14194,-30.03176
204858,Porto Alegre,Não Informado,POINT (-51.17393 -30.06771),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.17393 -30.06771),-51.17393,-30.06771
204859,Porto Alegre,Não Informado,POINT (-51.1913 -30.07479),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1913 -30.07479),-51.1913,-30.07479
204860,Porto Alegre,Não Informado,POINT (-51.18124 -30.00438),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.18124 -30.00438),-51.18124,-30.00438
204861,Porto Alegre,Não Informado,POINT (-51.15938 -30.06301),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.15938 -30.06301),-51.15938,-30.06301
204862,Porto Alegre,Não Informado,POINT (-51.14995 -30.05513),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.14995 -30.05513),-51.14995,-30.05513
204863,Porto Alegre,Não Informado,POINT (-51.22586 -30.04068),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.22586 -30.04068),-51.22586,-30.04068
204864,Porto Alegre,Não Informado,POINT (-51.1886 -30.04733),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1886 -30.04733),-51.1886,-30.04733
204865,Porto Alegre,Não Informado,POINT (-51.2119 -30.04097),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.2119 -30.04097),-51.2119,-30.04097
204866,Porto Alegre,Não Informado,POINT (-51.15335 -30.1125),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.15335 -30.1125),-51.15335,-30.1125
204867,Porto Alegre,Não Informado,POINT (-51.23079 -30.092),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.23079 -30.092),-51.23079,-30.092
204868,Porto Alegre,Não Informado,POINT (-51.17807 -30.07181),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.17807 -30.07181),-51.17807,-30.07181
204869,Porto Alegre,Não Informado,POINT (-51.12778 -29.98598),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.12778 -29.98598),-51.12778,-29.98598
204870,Porto Alegre,Não Informado,POINT (-51.15038 -30.02963),,,Urbana,Estadual,POINT (-51.15038 -30.02963),-51.15038,-30.02963
204871,Porto Alegre,Não Informado,POINT (-51.17321 -30.13709),,,Urbana,Estadual,POINT (-51.17321 -30.13709),-51.17321,-30.13709
204872,Porto Alegre,Não Informado,POINT (-51.25261 -30.02895),Entre 51 e 200 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.25261 -30.02895),-51.25261,-30.02895
204873,Porto Alegre,Não Informado,POINT (-51.10683 -30.03582),Mais de 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.10683 -30.03582),-51.10683,-30.03582
204874,Porto Alegre,Não Informado,POINT (-51.19983 -30.15437),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.19983 -30.15437),-51.19983,-30.15437
204875,Porto Alegre,Não Informado,POINT (-51.21066 -30.06416),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.21066 -30.06416),-51.21066,-30.06416
204876,Porto Alegre,Não Informado,POINT (-51.16359 -30.03823),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.16359 -30.03823),-51.16359,-30.03823
204877,Porto Alegre,Não Informado,POINT (-51.24946 -30.10794),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.24946 -30.10794),-51.24946,-30.10794
204878,Porto Alegre,Não Informado,POINT (-51.22735 -30.12988),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.22735 -30.12988),-51.22735,-30.12988
204880,Porto Alegre,Não Informado,POINT (-51.1828 -30.02847),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1828 -30.02847),-51.1828,-30.02847
204881,Porto Alegre,Não Informado,POINT (-51.16954 -30.21123),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.16954 -30.21123),-51.16954,-30.21123
204882,Porto Alegre,Não Informado,POINT (-51.13644 -29.98749),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.13644 -29.98749),-51.13644,-29.98749
204883,Porto Alegre,Não Informado,POINT (-51.20134 -30.01503),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.20134 -30.01503),-51.20134,-30.01503
204885,Porto Alegre,Não Informado,POINT (-51.24529 -30.10149),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.24529 -30.10149),-51.24529,-30.10149
204886,Porto Alegre,Não Informado,POINT (-51.23346 -30.10436),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.23346 -30.10436),-51.23346,-30.10436
204887,Porto Alegre,Não Informado,POINT (-51.21037 -30.02931),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.21037 -30.02931),-51.21037,-30.02931
204888,Porto Alegre,Não Informado,POINT (-51.09662 -30.01412),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.09662 -30.01412),-51.09662,-30.01412
204889,Porto Alegre,Não Informado,POINT (-51.1043 -30.12474),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1043 -30.12474),-51.1043,-30.12474
204890,Porto Alegre,Não Informado,POINT (-51.21568 -30.13825),Mais de 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.21568 -30.13825),-51.21568,-30.13825
204891,Porto Alegre,Não Informado,POINT (-51.24217 -30.078),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.24217 -30.078),-51.24217,-30.078
204892,Porto Alegre,Não Informado,POINT (-51.14472 -30.17661),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.14472 -30.17661),-51.14472,-30.17661
204893,Porto Alegre,Não Informado,POINT (-51.19804 -30.13357),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.19804 -30.13357),-51.19804,-30.13357
204894,Porto Alegre,Não Informado,POINT (-51.17752 -30.01617),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.17752 -30.01617),-51.17752,-30.01617
204895,Porto Alegre,Não Informado,POINT (-51.16323 -30.18311),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.16323 -30.18311),-51.16323,-30.18311
204896,Porto Alegre,Não Informado,POINT (-51.22427 -30.10654),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.22427 -30.10654),-51.22427,-30.10654
204897,Porto Alegre,Não Informado,POINT (-51.22351 -30.08824),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.22351 -30.08824),-51.22351,-30.08824
204899,Porto Alegre,Não Informado,POINT (-51.18628 -30.0122),,,Urbana,Estadual,POINT (-51.18628 -30.0122),-51.18628,-30.0122
204900,Porto Alegre,Não Informado,POINT (-51.12552 -30.03789),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.12552 -30.03789),-51.12552,-30.03789
204901,Porto Alegre,Não Informado,POINT (-51.20798 -30.08544),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.20798 -30.08544),-51.20798,-30.08544
